kt_path,model,Abrupt Control Flow,CE,Chapin Q,CondE,Conditional Complexity,Conditional Statements,Cyclomatic Complexity,Halstead Bugs,Halstead Difficulty,Halstead Distinct Operands,Halstead Distinct Operators,Halstead Effort,Halstead Length,Halstead Time,Halstead Total Operands,Halstead Total Operators,Halstead Vocabulary,Halstead Volume,JSD,KL,LM_CE,LM_CondE,LM_JSD,LM_KL,LM_PPL,Labeled Blocks,Local Variables,PPL,Pivovarsky N(G),Program Size
2140/solution_2140.kt,deepseek-coder-6.7B-kexer,0,6.168213301099893,5.0,2.530306471288597,3.0,1,2,0,0,0,3,0.0,4,0.0,0,4,3,6.339850002884624,0.31507003312729737,2.012648287570859,10.570884323657305,4.983734422970728,0.7652879202832561,6.415308674324377,1521.0842242223698,0,1,71.91462551755622,3,60
2140/solution_2140.kt,deepseek-coder-7b-base-v1.5,0,11.423069945784945,3.0,14.728276500714278,3.0,1,2,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.5467644594705646,7.444205857198217,9.727074807163554,5.932302303766457,0.7621654201994402,5.748200082892521,847.5030835720563,0,0,2745.912513646846,3,55
2140/solution_2140.kt,deepseek-coder-7b-instruct-v1.5,0,12.200478588155457,5.0,11.951492960907002,7.0,1,2,0,0,0,4,0.0,7,0.0,0,7,4,14.0,0.5127760794324183,7.943539729786583,12.553240049840976,7.074009922310632,0.7826840026087245,8.296290555747936,6010.378160557133,0,1,4706.6295428988515,3,72
2140/solution_2140.kt,Mellum-4b-base,0,10.348590020489715,3.0,13.807661950286779,3.0,1,2,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.5174656788667978,6.391294146250513,11.88537219981237,7.282061248042096,0.7582856555465579,7.928065689849001,3783.1498308477017,0,0,1303.875151871584,3,55
2140/solution_2140.kt,Qwen2.5-Coder-3B-Instruct,0,10.439159306238198,3.0,11.686733584603973,3.0,1,2,0,0,0,2,0.0,2,0.0,0,2,2,2.0,0.522718600486588,6.460295217691332,9.657121126140886,3.527656822668469,0.7725318305473452,5.6782464018698535,807.3895623971831,0,0,1388.3535678869648,3,55
2140/solution_2140.kt,Qwen2.5-Coder-3B,0,9.012042370945899,5.0,5.250781380630713,3.0,1,2,0,0,0,3,0.0,4,0.0,0,4,3,6.339850002884624,0.416439696384703,4.856477357377001,10.348625474608454,4.189420319431395,0.7655876584901329,6.193049825275526,1303.907194896043,0,1,516.2916198077105,3,60
2140/solution_2140.kt,Qwen2.5-Coder-7B-Instruct,0,11.373916960227904,8.0,7.3906050543636415,3.0,2,3,0.005389518211950695,4.0,1,4,65.01398665684614,7,3.6118881476025635,2,5,5,16.253496664211536,0.4974287712189893,7.089910438862585,9.500023290628375,2.7789549179735795,0.7306815234303706,5.216006133618616,724.0890334133842,0,1,2653.9343355782084,5,72
2140/solution_2140.kt,Qwen2.5-Coder-7B,0,7.817317387655875,8.0,6.6683725970657335,5.0,2,3,0.006372545183141623,4.0,1,4,83.58941141594504,9,4.643856189774724,2,7,5,20.89735285398626,0.3416216076599468,3.487727910031181,10.045740840185168,4.547614271716835,0.7409100156252869,5.716140726796445,1056.9862106159355,0,1,225.55217497594225,5,81
2140/solution_2140.kt,Qwen2.5-Coder-0.5B-Instruct-KExercises-KStack-clean-bytecode-4bit-lora,0,9.020972837275774,8.0,5.9680089003977805,3.0,2,3,0.004027587078653516,3.0,1,3,42.0,7,2.3333333333333335,2,5,4,14.0,0.3888311498972544,4.60162800100795,12.533716421644712,6.164905591839699,0.7412085802484089,8.114360949572994,5929.5891103581735,0,1,519.4974427811919,6,70
9202/solution_9202.kt,kt_source,0,4.3153115322251026,2.0,0.7053788462647933,0.0,0,1,0,0,0,3,0.0,3,0.0,0,3,3,4.754887502163468,0.0,0.0,10.014893747947994,2.4548028875011227,0.7078806153498057,5.699571579799409,1034.626079933878,0,1,19.908484980780123,1,72
9202/solution_9202.kt,CodeLlama-7b-hf,0,15.634814708701239,11.0,10.998457687484468,3.0,1,2,0,0,0,3,0.0,7,0.0,0,7,3,11.094737505048093,0.5550790427348984,11.057067545551115,10.263823182989459,3.1691848242790583,0.7024616778901797,5.6860653843144835,1229.472016159167,0,4,50880.12902672621,3,105
9202/solution_9202.kt,CodeLlama-7b-Instruct-hf,0,13.426128209119762,10.0,10.52409622680927,0.0,0,1,0,0,0,3,0.0,8,0.0,0,8,3,12.679700005769249,0.51164896108605,8.920328037868748,10.881578862805949,5.269378622950169,0.7148369707959727,6.375768055950357,1886.6078531376718,0,5,11006.958184093688,1,111
9202/solution_9202.kt,CodeLlama-7B-KStack-clean,0,14.420484390816199,8.0,9.401533237015187,0.0,0,1,0.0043065674477539605,2.0,1,4,46.43856189774724,10,2.579920105430402,1,9,5,23.21928094887362,0.5273467514250393,9.927291886506188,9.754021268566886,2.556623702616261,0.6958132111959097,5.260818128652296,863.4813864583109,0,4,21927.966226966142,1,120
9202/solution_9202.kt,CodeLlama-7B-KStack,0,15.634814708701239,11.0,10.998457687484466,3.0,1,2,0,0,0,3,0.0,7,0.0,0,7,3,11.094737505048093,0.5550790427348984,11.057067545551115,10.263823182989459,3.1691848242795397,0.7024616778896248,5.6860653843144835,1229.472016159167,0,4,50880.12902672621,3,105
9202/solution_9202.kt,deepseek-coder-1.3b-base,0,20.819982240019876,6.0,15.381623878191382,0.0,0,1,0,0,0,2,0.0,4,0.0,0,4,2,4.0,0.7904519997724857,17.047927030507864,7.205267776646345,0.5623310287764823,0.7666187277904625,3.4332019316094833,147.57124034382466,0,3,1851139.5658900223,1,40
9202/solution_9202.kt,deepseek-coder-1.3B-kexer,0,13.729488040552717,4.0,7.960721401689587,0.0,0,1,0,0,0,2,0.0,3,0.0,0,3,2,3.0,0.5289026950277078,9.383262171737732,12.526942323131824,4.396225376150791,0.715048537993804,8.18070581855281,5901.812300575004,0,2,13582.75056432435,1,66
9202/solution_9202.kt,deepseek-coder-6.7b-instruct,0,14.701676778367563,5.0,7.463667296562121,3.0,1,2,0,0,0,3,0.0,3,0.0,0,3,3,4.754887502163468,0.5229083755549292,10.258997334591445,7.918483832553555,0.5886315107817088,0.6807162318012203,3.4757937532127223,241.93636640598496,0,1,26646.838933443974,3,73
9202/solution_9202.kt,deepseek-coder-7b-base-v1.5,0,21.154854409585234,0.0,11.25366247504523,0.0,0,1,0.0013333333333333333,1.0,2,2,8.0,4,0.4444444444444444,2,2,4,8.0,0.7562043988666489,17.302685685384002,7.252763925157169,-0.5404253484790845,0.7702474718415269,3.4005845653912274,152.51041152156438,0,0,2334778.7460582857,1,28
9202/solution_9202.kt,Mellum-4b-base,0,16.52904580122571,6.0,9.409948511780472,0.0,0,1,0,0,0,5,0.0,7,0.0,0,7,5,16.253496664211536,0.5646231071385666,11.92188939639359,10.998091705622974,3.77501634886321,0.7114317438740628,6.390924665226141,2045.2928420928124,0,3,94566.77658506333,1,80
9202/solution_9202.kt,Qwen2.5-Coder-1.5B-Instruct,0,14.35843265355585,6.0,10.306134084329207,0.0,0,1,0,0,0,3,0.0,5,0.0,0,5,3,7.92481250360578,0.5358521024751606,9.903666445377768,11.334026380600724,4.020735767970339,0.7130445649212871,6.879249536738337,2581.5581509708068,0,3,21004.81783426805,1,74
9202/solution_9202.kt,Qwen2.5-Coder-3B-Instruct,0,14.35843265355585,6.0,10.306134084329207,0.0,0,1,0,0,0,3,0.0,5,0.0,0,5,3,7.92481250360578,0.5358521024751605,9.903666445377768,11.29830197054557,4.563003262019973,0.7128175306145044,6.843525126683182,2518.4178751011345,0,3,21004.81783426805,1,74
9202/solution_9202.kt,Qwen2.5-Coder-3B,0,14.35843265355585,6.0,10.306134084329209,0.0,0,1,0,0,0,3,0.0,5,0.0,0,5,3,7.92481250360578,0.5358521024904875,9.967733596590872,11.015274959891014,4.442283129204863,0.7145915545454307,6.624565267241732,2069.7990029919624,0,3,21004.81783426805,1,76
9202/solution_9202.kt,Qwen2.5-Coder-7B-Instruct,0,13.399202213809303,6.0,10.263660527654237,0.0,0,1,0,0,0,3,0.0,5,0.0,0,5,3,7.92481250360578,0.5043469646579422,8.986361792374325,11.133089605736254,3.376423901818279,0.6896214082950883,6.720238548577108,2245.9181029873967,0,3,10803.433035455759,1,92
