model,CondE,Conditional Complexity,Halstead Distinct Operators,JSD,KL,LM_CE,LM_CondE,LM_KL,case_count,euclidean_cov,manhattan_cov,cosine_cov,chebyshev_cov,euclidean,manhattan,cosine,chebyshev,repo_count
Mellum-4b-base,8.367758675069645,0.0,2.0,0.4827823911665592,5.833247433697656,8.578317781401514,0.7487794382620889,4.707894746174584,84,12.654526794324793,24.364416048552027,0.3633976730027844,9.961617470321006,10.629802507232826,20.4661094807837,0.3052540453223389,8.367758675069645,82
CodeLlama-7b-Instruct-hf,9.75777346029838,0.0,2.0,0.4920641747430866,7.095911377184872,8.595738278520223,1.4057418498775915,4.637237993989792,95,13.018468379767699,23.709835617396593,0.3803365518355496,10.271340484524611,12.367544960779313,22.52434383652676,0.3613197242437721,9.75777346029838,92
deepseek-coder-7b-base-v1.5,9.24256461233158,0.0,2.0,0.5458369825855031,8.007348323148008,8.19747710140879,0.257679715333206,4.31794889243599,89,14.350294247084951,27.910064219747337,0.4455453022118166,10.38490405879953,12.771761879905608,24.83995715557513,0.3965353189685168,9.24256461233158,89
deepseek-coder-6.7B-kexer,7.112004264993656,0.0,2.0,0.44808946910335934,5.655027687576796,8.990822658516615,1.8715921664110633,4.943414375285231,68,13.731928191841625,25.333242894336664,0.3556990667401533,10.458829801461258,9.337711170452305,17.226605168148932,0.24187536538330423,7.112004264993656,66
Qwen2.5-Coder-1.5B-Instruct,8.22851045736771,0.0,3.0,0.5065048274485087,7.388896519173453,8.432429519010766,1.3312398993427963,4.409738086762497,77,14.81718169409997,26.971191228002127,0.4289071032895968,10.686377217360661,11.409229904456977,20.767817245561638,0.33025846953298954,8.22851045736771,77
Qwen2.5-Coder-0.5B-Instruct,9.237323463088195,0.0,2.0,0.5609020404644167,8.648451375196839,8.264431592351633,0.7019407659928423,4.445663906064558,84,15.581826834877152,29.58565900122434,0.4761441653401711,10.996813646533566,13.088734541296807,24.851953561028445,0.3999610988857437,9.237323463088195,84
deepseek-coder-6.7b-instruct,8.221744158501549,0.0,2.0,0.4764465595952802,7.249123012325168,8.72680967318534,1.7557478355160672,5.152712023400546,69,16.22294180117283,29.172981369576917,0.44974593440090527,11.915571244205145,11.19382984280925,20.129357145008072,0.3103246947366246,8.221744158501549,66
deepseek-coder-1.3b-base,10.905138014333133,0.0,2.0,0.5668180248960706,8.602545770623342,7.9546888549072445,0.6355028360235491,4.04397397697258,90,15.994629761110758,30.286276765152444,0.5050071730756877,12.116820015925702,14.395166784999683,27.2576490886372,0.4545064557681189,10.905138014333133,87
deepseek-coder-6.7b-base,9.384347425407466,0.0,3.0,0.490528903573265,7.134550180131981,8.403225511481637,0.4731828601295509,4.453837373449268,62,19.708481308337195,36.28466727538756,0.5842695701253894,15.136044234528171,12.219258411169061,22.49649371074029,0.3622471334777414,9.384347425407466,59
Qwen2.5-Coder-7B,9.228152066495587,0.0,3.0,0.4619837589340641,6.402278541658415,8.973924186637067,2.54090061628934,5.071932924293555,47,24.19767102575463,39.70150425963456,0.6399529103755718,19.634366098926783,11.372905382104676,18.65970700202824,0.3007778678765187,9.228152066495587,47
deepseek-coder-7b-instruct-v1.5,9.898370395719613,0.0,2.0,0.5379381588020975,6.610801379017772,9.072444607696603,2.477197265045324,5.326953987507056,36,33.47441998975815,56.103215924896105,0.8985503427641062,27.49547332144337,12.050791196312932,20.197157732962598,0.3234781233950782,9.898370395719613,33
CodeLlama-7B-Kexer,11.744505348299686,0.0,2.5,0.6413337888848958,9.90236884842236,10.241107036774807,2.9912774416785575,6.265967242006596,6,256.6268481879815,395.38694423211973,6.113794520141617,195.74175580499477,15.39761089127889,23.72321665392718,0.366827671208497,11.744505348299686,6
